Employee ID,Age,Retirement Status,Designation,Salary,Years of Service,Gender,Death Status,Retirement Age,Dependent Wife,Dependent Children,Marital Status
1,37,Retired,Clerk,79404,15,Other,Alive,55,Yes,Yes,No
2,47,Active,Clerk,76881,8,Male,Alive,59,No,Yes,Yes
3,43,Retired,Analyst,42819,23,Male,Alive,67,Yes,No,No
4,41,Active,Engineer,132667,24,Female,Alive,57,No,No,No
5,55,Retired,Engineer,144253,2,Male,Alive,66,Yes,Yes,Yes
6,59,Active,Analyst,133665,18,Other,Alive,57,Yes,No,Yes
7,44,Active,Manager,131082,38,Female,Alive,60,No,Yes,Yes
8,54,Active,Analyst,40896,35,Female,Alive,56,Yes,Yes,No
9,64,Retired,Manager,142722,35,Female,Dead,65,No,Yes,No
10,51,Active,Engineer,74923,2,Male,Alive,58,No,Yes,No
11,39,Active,Director,103832,28,Female,Dead,69,Yes,No,Yes
12,55,Active,Manager,102795,35,Male,Alive,62,No,Yes,Yes
13,61,Active,Clerk,104801,31,Other,Dead,60,No,Yes,Yes
14,64,Retired,Engineer,84664,23,Female,Dead,62,No,No,No
15,47,Active,Director,79709,16,Female,Dead,66,No,Yes,Yes
16,35,Active,Manager,123880,1,Male,Dead,63,No,Yes,Yes
17,32,Active,Manager,114923,22,Other,Dead,67,Yes,No,Yes
18,29,Active,Engineer,101950,24,Male,Dead,67,No,No,Yes
19,63,Active,Manager,106463,6,Other,Alive,68,No,No,No
20,58,Active,Director,32637,38,Male,Alive,60,Yes,Yes,No
21,28,Retired,Analyst,124289,9,Other,Alive,62,Yes,Yes,Yes
22,62,Retired,Director,58017,1,Other,Dead,65,Yes,No,No
23,28,Active,Clerk,84581,12,Female,Alive,57,Yes,Yes,Yes
24,43,Active,Clerk,103486,25,Other,Dead,62,Yes,No,No
25,58,Retired,Manager,75876,25,Other,Alive,63,Yes,No,No
26,33,Active,Clerk,147251,6,Male,Dead,65,Yes,Yes,No
27,40,Retired,Clerk,131693,21,Other,Alive,64,No,No,No
28,37,Active,Engineer,122820,34,Other,Dead,65,No,No,No
29,43,Active,Director,87470,39,Female,Dead,63,No,No,No
30,30,Active,Manager,42208,14,Female,Alive,57,No,Yes,Yes
31,56,Active,Analyst,138440,37,Male,Alive,58,No,No,No
32,51,Active,Analyst,110464,37,Male,Alive,66,No,No,No
33,35,Retired,Analyst,71036,19,Male,Dead,69,No,No,Yes
34,48,Retired,Director,45667,26,Other,Dead,56,Yes,No,No
35,57,Retired,Clerk,52176,15,Female,Dead,69,Yes,No,Yes
36,59,Active,Manager,31494,10,Male,Dead,65,Yes,No,Yes
37,48,Active,Engineer,86200,1,Female,Dead,58,No,Yes,Yes
38,33,Retired,Clerk,37585,5,Male,Alive,56,Yes,Yes,Yes
39,47,Active,Engineer,40996,11,Other,Dead,62,Yes,No,Yes
40,55,Active,Analyst,90078,27,Male,Dead,63,No,Yes,No
41,42,Retired,Director,144292,2,Male,Dead,65,Yes,Yes,Yes
42,61,Active,Analyst,77589,38,Female,Alive,61,No,Yes,Yes
43,31,Retired,Manager,42304,16,Other,Alive,62,No,Yes,No
44,53,Active,Analyst,149398,31,Male,Dead,66,No,Yes,No
45,40,Retired,Engineer,131619,30,Other,Alive,61,Yes,Yes,No
46,56,Active,Analyst,58134,35,Female,Dead,55,Yes,Yes,No
47,33,Active,Director,148598,2,Male,Alive,62,No,Yes,Yes
48,62,Retired,Director,86528,1,Female,Alive,66,No,No,Yes
49,40,Retired,Manager,146366,26,Female,Dead,66,Yes,Yes,No
50,55,Retired,Director,95215,6,Male,Alive,56,Yes,No,No
51,64,Retired,Director,111877,13,Other,Alive,59,No,No,Yes
52,25,Active,Engineer,45970,1,Other,Dead,64,No,Yes,No
53,47,Retired,Director,65287,27,Other,Dead,58,Yes,No,No
54,33,Active,Analyst,33464,16,Male,Dead,57,Yes,Yes,Yes
55,58,Active,Manager,52915,35,Female,Alive,62,No,No,No
56,29,Retired,Engineer,141253,32,Female,Dead,58,No,No,Yes
57,57,Retired,Engineer,105204,31,Other,Alive,55,No,No,Yes
58,57,Retired,Engineer,105955,14,Male,Alive,65,No,No,Yes
59,49,Active,Engineer,141990,33,Male,Dead,62,Yes,Yes,Yes
60,49,Retired,Clerk,59088,31,Female,Dead,66,No,No,Yes
61,61,Active,Director,72450,19,Male,Dead,68,No,No,No
62,64,Retired,Engineer,95548,35,Female,Dead,64,No,No,Yes
63,54,Retired,Director,51717,33,Female,Dead,59,No,No,No
64,48,Active,Clerk,76219,13,Male,Alive,60,Yes,Yes,No
65,43,Retired,Manager,76765,3,Male,Alive,64,Yes,Yes,No
66,33,Retired,Clerk,41362,4,Other,Dead,57,Yes,No,No
67,45,Active,Clerk,149870,19,Female,Dead,68,No,No,No
68,48,Retired,Engineer,110515,9,Other,Dead,57,Yes,Yes,No
69,32,Retired,Analyst,111621,28,Male,Dead,62,Yes,No,Yes
70,40,Retired,Director,93060,7,Female,Dead,66,No,Yes,No
71,39,Active,Engineer,135362,1,Male,Alive,57,No,No,No
72,61,Retired,Engineer,34122,24,Female,Dead,67,Yes,No,Yes
73,58,Retired,Analyst,91112,2,Female,Dead,62,Yes,Yes,No
74,32,Retired,Engineer,103714,33,Other,Alive,57,Yes,No,Yes
75,63,Active,Director,31421,22,Male,Alive,65,No,Yes,Yes
76,42,Retired,Director,130184,7,Male,Alive,67,No,Yes,No
77,44,Active,Analyst,41046,25,Male,Dead,69,No,No,No
78,33,Retired,Clerk,89028,19,Male,Alive,64,Yes,Yes,No
79,30,Active,Clerk,38427,4,Male,Dead,62,Yes,Yes,Yes
80,32,Active,Clerk,149232,2,Female,Dead,68,Yes,No,Yes
81,31,Retired,Manager,104997,35,Female,Dead,61,No,No,Yes
82,54,Retired,Analyst,104808,5,Male,Alive,57,No,No,No
83,27,Active,Analyst,53278,26,Female,Alive,62,No,Yes,Yes
84,62,Active,Director,104469,36,Other,Dead,59,No,Yes,Yes
85,31,Retired,Analyst,119978,15,Male,Dead,69,Yes,No,Yes
86,59,Active,Manager,65319,36,Other,Alive,64,No,Yes,Yes
87,31,Active,Director,140118,11,Male,Dead,58,Yes,Yes,No
88,61,Active,Engineer,62637,35,Female,Alive,63,Yes,Yes,No
89,48,Active,Analyst,77367,20,Male,Dead,63,No,Yes,Yes
90,44,Retired,Analyst,43681,14,Other,Dead,65,Yes,No,Yes
91,51,Retired,Clerk,71992,4,Male,Dead,63,No,Yes,Yes
92,34,Retired,Engineer,51200,20,Male,Dead,67,No,Yes,Yes
93,41,Active,Director,50594,3,Male,Dead,59,Yes,No,No
94,52,Active,Director,74795,36,Male,Alive,61,Yes,Yes,No
95,37,Active,Analyst,75204,22,Female,Dead,69,Yes,Yes,Yes
96,34,Retired,Clerk,134416,9,Female,Dead,61,Yes,Yes,No
97,39,Active,Analyst,72065,5,Female,Alive,60,Yes,No,Yes
98,33,Active,Engineer,148334,23,Male,Dead,63,Yes,Yes,No
99,53,Retired,Clerk,81820,5,Male,Dead,66,No,Yes,No
100,45,Active,Clerk,69439,36,Female,Dead,65,No,No,Yes
101,49,Retired,Director,72399,37,Female,Alive,67,Yes,Yes,Yes
102,60,Active,Clerk,51615,26,Other,Alive,56,Yes,Yes,No
103,48,Active,Clerk,114442,39,Female,Alive,61,Yes,Yes,Yes
104,44,Retired,Clerk,41392,10,Female,Alive,58,Yes,No,No
105,31,Active,Engineer,99897,15,Other,Alive,65,No,No,Yes
106,41,Retired,Engineer,108232,31,Male,Alive,56,Yes,No,Yes
107,29,Retired,Analyst,96570,29,Other,Dead,63,No,No,No
108,54,Active,Engineer,139151,29,Other,Dead,63,No,No,No
109,62,Active,Manager,52440,12,Other,Dead,58,Yes,Yes,No
110,40,Active,Engineer,140863,32,Female,Dead,58,Yes,No,Yes
111,50,Retired,Clerk,107921,35,Other,Dead,67,Yes,No,Yes
112,45,Retired,Analyst,106000,20,Female,Dead,65,Yes,No,No
113,41,Active,Manager,147067,30,Male,Alive,59,No,Yes,No
114,61,Active,Analyst,39184,3,Male,Dead,69,Yes,Yes,No
115,39,Retired,Clerk,44066,7,Male,Dead,63,No,No,Yes
116,37,Retired,Clerk,42073,33,Male,Dead,68,Yes,No,No
117,43,Retired,Analyst,86543,27,Female,Dead,58,Yes,No,Yes
118,29,Active,Engineer,131852,20,Other,Alive,64,Yes,Yes,Yes
119,38,Retired,Analyst,79014,11,Male,Dead,63,No,Yes,No
120,54,Active,Engineer,91353,32,Male,Alive,68,Yes,No,Yes
121,58,Active,Clerk,64522,4,Female,Alive,69,No,No,Yes
122,28,Active,Engineer,142446,32,Female,Dead,63,No,No,Yes
123,43,Retired,Manager,144063,34,Other,Alive,69,No,Yes,Yes
124,46,Active,Analyst,86049,1,Other,Dead,55,Yes,Yes,No
125,52,Active,Director,100759,30,Male,Dead,64,No,Yes,Yes
126,26,Retired,Clerk,66849,11,Other,Alive,59,Yes,Yes,Yes
127,39,Retired,Clerk,44138,36,Male,Alive,62,No,Yes,No
128,42,Active,Manager,40354,10,Female,Alive,62,Yes,Yes,Yes
129,57,Retired,Engineer,59977,36,Other,Alive,55,Yes,No,No
130,49,Retired,Clerk,54783,36,Female,Dead,62,No,Yes,Yes
131,47,Retired,Analyst,91832,28,Other,Alive,64,Yes,Yes,Yes
132,42,Active,Director,60687,31,Other,Dead,61,No,No,No
133,33,Retired,Director,63635,36,Other,Dead,62,Yes,Yes,No
134,48,Active,Engineer,100944,17,Female,Dead,59,No,Yes,Yes
135,30,Retired,Director,86912,1,Male,Dead,63,Yes,No,No
136,27,Retired,Director,69591,20,Male,Dead,55,Yes,No,Yes
137,31,Active,Clerk,135883,11,Male,Dead,61,Yes,No,Yes
138,45,Active,Manager,146455,20,Other,Dead,66,Yes,Yes,No
139,28,Retired,Clerk,48137,10,Female,Alive,55,Yes,No,No
140,42,Retired,Clerk,134453,39,Female,Alive,63,No,Yes,No
141,36,Active,Clerk,104384,29,Female,Alive,59,Yes,No,No
142,34,Active,Clerk,61610,8,Male,Dead,66,No,Yes,No
143,49,Retired,Manager,79567,38,Female,Dead,66,No,No,Yes
144,51,Retired,Director,75602,4,Other,Dead,63,No,Yes,No
145,48,Active,Manager,103059,36,Female,Dead,68,Yes,No,Yes
146,29,Retired,Engineer,48915,11,Female,Alive,58,No,Yes,No
147,33,Active,Clerk,132915,10,Male,Dead,60,No,No,No
148,36,Active,Director,108600,7,Other,Alive,61,Yes,Yes,No
149,54,Retired,Analyst,41669,23,Male,Dead,69,No,Yes,No
150,61,Retired,Manager,135589,14,Other,Alive,65,No,No,Yes
151,51,Retired,Manager,133284,8,Other,Dead,66,Yes,No,Yes
152,33,Active,Director,105899,25,Male,Dead,60,Yes,No,No
153,37,Active,Director,75423,13,Female,Dead,66,No,No,Yes
154,61,Retired,Engineer,120237,38,Female,Dead,65,No,Yes,Yes
155,39,Active,Clerk,103823,38,Female,Dead,65,No,No,No
156,56,Retired,Director,131329,9,Other,Dead,61,No,Yes,No
157,60,Active,Analyst,93259,20,Male,Alive,67,No,Yes,No
158,59,Active,Engineer,92218,26,Female,Dead,66,Yes,No,No
159,44,Retired,Engineer,47607,35,Male,Dead,59,No,No,Yes
160,39,Active,Manager,130935,9,Male,Alive,62,Yes,No,Yes
161,64,Retired,Director,34714,3,Female,Dead,68,No,Yes,No
162,61,Active,Engineer,122028,28,Male,Alive,56,Yes,Yes,Yes
163,40,Active,Engineer,73875,9,Female,Dead,65,No,No,No
164,52,Active,Analyst,103593,37,Male,Dead,61,No,Yes,No
165,27,Active,Manager,110234,7,Male,Dead,55,No,Yes,No
166,38,Retired,Clerk,122739,18,Other,Dead,68,No,Yes,Yes
167,38,Retired,Clerk,96555,27,Female,Alive,64,No,Yes,Yes
168,30,Active,Manager,124704,29,Other,Alive,63,No,No,Yes
169,46,Retired,Analyst,102522,12,Other,Alive,58,Yes,No,No
170,34,Retired,Director,32771,28,Female,Dead,64,No,No,No
171,61,Active,Manager,49335,14,Male,Dead,58,No,No,No
172,42,Active,Manager,40101,12,Female,Dead,64,No,Yes,No
173,57,Retired,Manager,129429,5,Male,Dead,64,Yes,Yes,No
174,45,Active,Clerk,86963,6,Male,Dead,62,No,Yes,No
175,27,Retired,Manager,66141,14,Male,Dead,62,Yes,Yes,No
176,60,Active,Engineer,124748,33,Other,Dead,67,Yes,No,No
177,63,Active,Engineer,67210,4,Female,Dead,56,Yes,No,No
178,41,Active,Engineer,85932,22,Male,Dead,57,Yes,Yes,No
179,33,Retired,Director,97942,7,Male,Dead,67,Yes,Yes,No
180,60,Retired,Engineer,124195,30,Female,Alive,55,Yes,No,No
181,64,Active,Director,114027,39,Other,Alive,60,No,Yes,Yes
182,54,Active,Director,129538,29,Male,Dead,62,No,No,No
183,35,Retired,Manager,146578,23,Female,Dead,56,Yes,Yes,No
184,35,Retired,Director,99817,20,Female,Dead,64,No,Yes,No
185,33,Active,Clerk,66550,3,Male,Dead,68,No,Yes,Yes
186,26,Retired,Manager,67108,1,Female,Dead,64,No,No,No
187,32,Active,Analyst,89619,18,Female,Dead,55,No,No,No
188,28,Active,Manager,39812,30,Male,Alive,63,Yes,No,No
189,49,Retired,Analyst,69223,20,Other,Dead,56,No,No,Yes
190,41,Active,Engineer,80923,7,Female,Dead,57,No,No,Yes
191,34,Retired,Clerk,144584,30,Female,Alive,57,No,Yes,No
192,25,Active,Manager,37206,28,Female,Alive,64,No,Yes,Yes
193,49,Active,Engineer,78655,16,Other,Dead,69,Yes,No,No
